,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,41.0
1.0,0.5444444444444444,1.0,0.7050359712230216,49.0
accuracy,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.5444444444444444
macro avg,0.2722222222222222,0.5,0.3525179856115108,90.0
weighted avg,0.29641975308641977,0.5444444444444444,0.3838529176658673,90.0
