,precision,recall,f1-score,support
0.0,0.775,0.7560975609756098,0.7654320987654322,41.0
1.0,0.8,0.8163265306122449,0.8080808080808082,49.0
accuracy,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7888888888888889
macro avg,0.7875000000000001,0.7862120457939273,0.7867564534231202,90.0
weighted avg,0.7886111111111112,0.7888888888888889,0.7886519516149146,90.0
