,precision,recall,f1-score,support
0.0,0.8518518518518519,0.5609756097560976,0.6764705882352942,41.0
1.0,0.7142857142857143,0.9183673469387755,0.8035714285714286,49.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.783068783068783,0.7396714783474365,0.7400210084033614,90.0
weighted avg,0.776954732510288,0.7555555555555555,0.7456699346405229,90.0
