,precision,recall,f1-score,support
0.0,0.7948717948717948,0.7560975609756098,0.7749999999999999,41.0
1.0,0.803921568627451,0.8367346938775511,0.8200000000000001,49.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.799396681749623,0.7964161274265804,0.7975,90.0
weighted avg,0.799798893916541,0.8,0.7995,90.0
