,precision,recall,f1-score,support
0.0,0.07692307692307693,0.024390243902439025,0.03703703703703704,41.0
1.0,0.4805194805194805,0.7551020408163265,0.5873015873015873,49.0
accuracy,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222
macro avg,0.2787212787212787,0.38974614235938276,0.3121693121693122,90.0
weighted avg,0.29665889665889666,0.4222222222222222,0.3366255144032922,90.0
